mol_id,y_true,prob_mean,prob_std,prob_min,prob_max,n_conformers
0,0.0,0.5719384650389353,0.07497316530300492,0.49512752890586853,0.6449276804924011,3
1,0.0,0.4351822833220164,0.0021545484659398818,0.4339376389980316,0.43767014145851135,3
2,0.0,0.6957088510195414,0.07100069470018655,0.619373619556427,0.75977623462677,3
3,0.0,0.37223397692044574,2.0932463313777427e-07,0.3722337782382965,0.37223419547080994,3
4,0.0,0.2879441976547241,0.057073008436604754,0.23170185089111328,0.3458130955696106,3
5,0.0,0.34430023034413654,0.04860250329421479,0.31573957204818726,0.40041857957839966,3
6,0.0,0.13203495989243189,0.017542839110020032,0.11179807037115097,0.1429295688867569,3
7,0.0,0.6025618314743042,0.1115638204200067,0.47373902797698975,0.6669742465019226,3
8,0.0,0.5432529846827189,0.10914412131429481,0.4662449359893799,0.66815584897995,3
9,0.0,0.024509554728865623,0.005547944740881712,0.018705323338508606,0.029759619385004044,3
10,0.0,0.3746088643868764,0.006301449160881884,0.3673325777053833,0.37824779748916626,3
11,0.0,0.1498656670252482,0.02385171517140407,0.13419485092163086,0.17731544375419617,3
12,0.0,0.294732466340065,0.0052406023641173305,0.2910268008708954,0.2984381318092346,2
13,0.0,0.7274191379547119,0.023551591259634828,0.7002663016319275,0.7423070669174194,3
14,0.0,0.9426254431406657,0.014416426655444365,0.933098554611206,0.959210991859436,3
15,0.0,0.6142857472101847,0.02014923749906288,0.5966091752052307,0.6362254023551941,3
16,1.0,0.4482428232828776,0.09991874481003646,0.3737232983112335,0.5617842078208923,3
17,0.0,0.11121007303396861,0.019754180000349633,0.09521415084600449,0.1332908421754837,3
18,1.0,0.41648708780606586,0.14094991916794217,0.3070894479751587,0.5755458474159241,3
19,0.0,0.6750105420748392,0.21057291572796727,0.45549124479293823,0.8753207921981812,3
20,0.0,0.8103130261103312,1.1654702326373863e-06,0.8103119134902954,0.8103142380714417,3
21,0.0,0.7744107643763224,0.0005039193478246605,0.7738353610038757,0.7747734189033508,3
22,0.0,0.49395854274431866,0.09721021938954091,0.42492640018463135,0.6051280498504639,3
23,0.0,0.32653741041819256,0.05321624816896833,0.2666974365711212,0.3685550093650818,3
24,0.0,0.23002049823602042,0.015875402524684376,0.21181698143482208,0.24099372327327728,3
25,0.0,0.6833927432696024,0.08885184021928162,0.5888184905052185,0.765124499797821,3
26,0.0,0.9423961440722147,0.0014026774128513442,0.9411258101463318,0.9439014792442322,3
27,0.0,0.7565613985061646,0.005318082715773306,0.7527972459793091,0.7626453042030334,3
28,0.0,0.5573867559432983,2.2357701460732283e-06,0.5573852062225342,0.5573893189430237,3
29,0.0,0.2647942801316579,0.04993538293123818,0.20934242010116577,0.30620819330215454,3
30,0.0,0.23021028439203897,0.08266431180532637,0.14593449234962463,0.31116288900375366,3
31,0.0,0.7458764314651489,0.06513639791479964,0.6819917559623718,0.8121962547302246,3
32,0.0,0.2292296141386032,0.011904194158245804,0.2175968587398529,0.24138784408569336,3
33,0.0,0.8490440050760905,0.03723103202743244,0.811852753162384,0.8863146901130676,3
34,0.0,0.8844164609909058,0.03293079994456887,0.8474040627479553,0.9104724526405334,3
35,0.0,0.20478647450606027,0.036280021260004534,0.17029708623886108,0.242624893784523,3
36,0.0,0.868317166964213,0.008980547797576604,0.861591100692749,0.8785154223442078,3
37,0.0,0.8549294869105021,0.024733139613054816,0.8291527628898621,0.8784667253494263,3
38,0.0,0.5499540269374847,0.10504443887044196,0.4694250524044037,0.6687719821929932,3
39,0.0,0.3835827906926473,0.02760581729227498,0.3541451692581177,0.4088917374610901,3
40,0.0,0.2125316063563029,0.0003073352052682654,0.2123527079820633,0.2128864824771881,3
41,1.0,0.8373116652170817,0.06214736854572683,0.7959823608398438,0.9087819457054138,3
42,0.0,0.2058233618736267,0.0017900226601871758,0.20478945970535278,0.20789030194282532,3
43,0.0,0.8684386809666952,0.03822368390319628,0.8243928551673889,0.8929159641265869,3
44,0.0,0.24381576478481293,0.02609994874829433,0.2154582440853119,0.2668316960334778,3
45,0.0,0.3789101441701253,0.0935116600785875,0.3069847524166107,0.4846186935901642,3
46,0.0,0.19979539513587952,0.05742014630414047,0.1432674676179886,0.2580679953098297,3
47,0.0,0.8304150501887003,0.08428819979907107,0.7742342352867126,0.927333414554596,3
48,0.0,0.27194463709990185,0.04700550674423486,0.22286058962345123,0.31655117869377136,3
49,0.0,0.9554905494054159,0.023369729090897677,0.9387245774269104,0.9821853041648865,3
50,0.0,0.6876017252604166,0.005908808841803426,0.6841874122619629,0.6944246292114258,3
51,0.0,0.11943919211626053,0.02703611339012133,0.08823668211698532,0.13590875267982483,3
52,0.0,0.3156048854192098,0.2059742947421916,0.08600184321403503,0.48413947224617004,3
53,0.0,0.8240271210670471,0.03165597737628439,0.8049754500389099,0.860569179058075,3
54,1.0,0.9367802739143372,0.0016658015613829763,0.9358173608779907,0.9387037754058838,3
55,0.0,0.9365401665369669,9.104759882108894e-08,0.9365400671958923,0.9365402460098267,3
56,0.0,0.09466603708763917,0.057667413777416236,0.02846653200685978,0.13399071991443634,3
