mol_id,y_true,prob_mean,prob_std,n_conformers
0,0.0,0.6090395450592041,0.06674130478463816,2
1,0.0,0.6279624998569489,0.00018886002817731614,2
2,0.0,3.316136269748693e-08,4.642462549024068e-08,2
3,0.0,0.021441858261823654,0.001403002732476864,2
4,0.0,0.0001570081731188111,8.236817461899421e-06,2
5,0.0,5.401980303076925e-07,9.704260662009866e-08,2
7,1.0,0.24978356808423996,0.002234805032153773,2
8,1.0,0.0001709109274088405,5.352560239989488e-05,2
9,0.0,0.005395571235567331,0.004558544524477088,2
10,0.0,0.9728465676307678,0.0013064680101406933,2
11,0.0,0.582520991563797,0.009759144919546024,2
12,0.0,0.9356561303138733,0.02269624651051048,2
13,0.0,0.8413653373718262,0.00010056238054699316,2
14,0.0,6.519511225633323e-05,4.999309763077002e-06,2
15,0.0,0.34219761192798615,0.13267695148656633,2
